algo,n,m,v,mean,median,std,len
0,0,0,64,396.90298652276397,397.0954706892371,0.9670674323243789,30
0,2,8,64,418.1813745448987,418.24191622436047,0.861781560674201,30
0,2,16,64,375.87544126436114,375.9331200271845,0.5416883234765526,30
0,2,32,64,354.27382634952664,354.12730602547526,0.76385108142596,30
0,0,0,128,396.90298652276397,397.0954706892371,0.9670674323243789,30
0,2,8,128,389.16693578163785,389.0916518867016,0.9714807066143102,30
0,2,16,128,355.58001964042586,355.46038392931223,0.8019645277112553,30
0,2,32,128,342.1907941810787,342.1983984299004,0.5179511456969744,30
